nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 61/200 - Loss: 0.1947, Val Acc: 57.68%, Head: 66.42%, Med: 22.70%, Tail: 0.00%
[adam] Epoch 62/200 - Loss: 0.1949, Val Acc: 55.79%, Head: 64.91%, Med: 19.30%, Tail: 0.00%
[adam] Epoch 63/200 - Loss: 0.1898, Val Acc: 58.01%, Head: 68.90%, Med: 14.45%, Tail: 0.00%
[adam] Epoch 64/200 - Loss: 0.1818, Val Acc: 58.29%, Head: 66.53%, Med: 25.35%, Tail: 0.00%
[adam] Epoch 65/200 - Loss: 0.1793, Val Acc: 55.12%, Head: 64.11%, Med: 19.15%, Tail: 0.00%
[adam] Epoch 66/200 - Loss: 0.1746, Val Acc: 60.64%, Head: 67.05%, Med: 35.00%, Tail: 0.00%
[adam] Epoch 67/200 - Loss: 0.1706, Val Acc: 57.66%, Head: 67.81%, Med: 17.05%, Tail: 0.00%
[adam] Epoch 68/200 - Loss: 0.1569, Val Acc: 59.28%, Head: 66.62%, Med: 29.90%, Tail: 0.00%
[adam] Epoch 69/200 - Loss: 0.1627, Val Acc: 58.79%, Head: 67.33%, Med: 24.65%, Tail: 0.00%
[adam] Epoch 70/200 - Loss: 0.1532, Val Acc: 61.79%, Head: 69.21%, Med: 32.10%, Tail: 0.00%
[adam] Epoch 71/200 - Loss: 0.1558, Val Acc: 58.45%, Head: 65.64%, Med: 29.70%, Tail: 0.00%
[adam] Epoch 72/200 - Loss: 0.1493, Val Acc: 57.16%, Head: 67.51%, Med: 15.75%, Tail: 0.00%
[adam] Epoch 73/200 - Loss: 0.1441, Val Acc: 60.30%, Head: 67.60%, Med: 31.10%, Tail: 0.00%
[adam] Epoch 74/200 - Loss: 0.1380, Val Acc: 60.81%, Head: 68.20%, Med: 31.25%, Tail: 0.00%
[adam] Epoch 75/200 - Loss: 0.1438, Val Acc: 60.25%, Head: 68.47%, Med: 27.35%, Tail: 0.00%
[adam] Epoch 76/200 - Loss: 0.1365, Val Acc: 60.50%, Head: 67.96%, Med: 30.65%, Tail: 0.00%
[adam] Epoch 77/200 - Loss: 0.1289, Val Acc: 57.04%, Head: 67.38%, Med: 15.70%, Tail: 0.00%
[adam] Epoch 78/200 - Loss: 0.1335, Val Acc: 60.69%, Head: 68.50%, Med: 29.45%, Tail: 0.00%
[adam] Epoch 79/200 - Loss: 0.1283, Val Acc: 61.37%, Head: 69.35%, Med: 29.45%, Tail: 0.00%
[adam] Epoch 80/200 - Loss: 0.1240, Val Acc: 58.38%, Head: 67.28%, Med: 22.80%, Tail: 0.00%
[adam] Epoch 81/200 - Loss: 0.1206, Val Acc: 59.86%, Head: 68.84%, Med: 23.95%, Tail: 0.00%
[adam] Epoch 82/200 - Loss: 0.1152, Val Acc: 58.58%, Head: 67.72%, Med: 22.00%, Tail: 0.00%
[adam] Epoch 83/200 - Loss: 0.1174, Val Acc: 59.08%, Head: 67.49%, Med: 25.45%, Tail: 0.00%
[adam] Epoch 84/200 - Loss: 0.1196, Val Acc: 58.76%, Head: 68.69%, Med: 19.05%, Tail: 0.00%
[adam] Epoch 85/200 - Loss: 0.1102, Val Acc: 58.20%, Head: 68.22%, Med: 18.10%, Tail: 0.00%
[adam] Epoch 86/200 - Loss: 0.0994, Val Acc: 59.96%, Head: 68.31%, Med: 26.55%, Tail: 0.00%
[adam] Epoch 87/200 - Loss: 0.1009, Val Acc: 58.51%, Head: 65.85%, Med: 29.15%, Tail: 0.00%
[adam] Epoch 88/200 - Loss: 0.0952, Val Acc: 56.31%, Head: 64.22%, Med: 24.65%, Tail: 0.00%
[adam] Epoch 89/200 - Loss: 0.1033, Val Acc: 59.49%, Head: 69.15%, Med: 20.85%, Tail: 0.00%
[adam] Epoch 90/200 - Loss: 0.0993, Val Acc: 60.35%, Head: 69.67%, Med: 23.05%, Tail: 0.00%
[adam] Epoch 91/200 - Loss: 0.0914, Val Acc: 61.65%, Head: 69.26%, Med: 31.20%, Tail: 0.00%
[adam] Epoch 92/200 - Loss: 0.0993, Val Acc: 58.05%, Head: 68.46%, Med: 16.40%, Tail: 0.00%
[adam] Epoch 93/200 - Loss: 0.0866, Val Acc: 58.92%, Head: 66.67%, Med: 27.90%, Tail: 0.00%
[adam] Epoch 94/200 - Loss: 0.0923, Val Acc: 61.86%, Head: 68.08%, Med: 37.00%, Tail: 0.00%
[adam] Epoch 95/200 - Loss: 0.0805, Val Acc: 60.45%, Head: 68.96%, Med: 26.40%, Tail: 0.00%
[adam] Epoch 96/200 - Loss: 0.0800, Val Acc: 59.73%, Head: 68.61%, Med: 24.20%, Tail: 0.00%
[adam] Epoch 97/200 - Loss: 0.0908, Val Acc: 60.33%, Head: 68.99%, Med: 25.70%, Tail: 0.00%
[adam] Epoch 98/200 - Loss: 0.0791, Val Acc: 57.97%, Head: 67.49%, Med: 19.90%, Tail: 0.00%
[adam] Epoch 99/200 - Loss: 0.0775, Val Acc: 59.26%, Head: 68.38%, Med: 22.80%, Tail: 0.00%
