nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
/home/gauranshi/miniconda3/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run k45kwifk
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120600-k45kwifk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ViT_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/k45kwifk
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 88/200 - Loss: 0.7505, Val Acc: 41.91%, Head: 52.34%, Med: 0.20%, Tail: 0.00%
Epoch 89/200 - Loss: 0.7503, Val Acc: 41.55%, Head: 51.91%, Med: 0.10%, Tail: 0.00%
Epoch 90/200 - Loss: 0.7599, Val Acc: 40.59%, Head: 49.01%, Med: 6.90%, Tail: 0.00%
Epoch 91/200 - Loss: 0.7416, Val Acc: 42.09%, Head: 52.16%, Med: 1.80%, Tail: 0.00%
Epoch 92/200 - Loss: 0.7495, Val Acc: 41.27%, Head: 51.31%, Med: 1.10%, Tail: 0.00%
Epoch 93/200 - Loss: 0.7422, Val Acc: 42.20%, Head: 51.33%, Med: 5.70%, Tail: 0.00%
Epoch 94/200 - Loss: 0.7380, Val Acc: 42.67%, Head: 52.17%, Med: 4.65%, Tail: 0.00%
Epoch 95/200 - Loss: 0.7340, Val Acc: 36.60%, Head: 45.29%, Med: 1.85%, Tail: 0.00%
Epoch 96/200 - Loss: 0.7296, Val Acc: 42.68%, Head: 52.56%, Med: 3.15%, Tail: 0.00%
Epoch 97/200 - Loss: 0.7178, Val Acc: 41.22%, Head: 50.81%, Med: 2.85%, Tail: 0.00%
Epoch 98/200 - Loss: 0.7155, Val Acc: 40.75%, Head: 50.14%, Med: 3.20%, Tail: 0.00%
Epoch 99/200 - Loss: 0.7064, Val Acc: 42.41%, Head: 52.38%, Med: 2.55%, Tail: 0.00%
Epoch 100/200 - Loss: 0.7007, Val Acc: 44.08%, Head: 51.70%, Med: 13.60%, Tail: 0.00%
Epoch 101/200 - Loss: 0.7127, Val Acc: 38.97%, Head: 48.10%, Med: 2.45%, Tail: 0.00%
Epoch 102/200 - Loss: 0.7027, Val Acc: 40.70%, Head: 50.08%, Med: 3.20%, Tail: 0.00%
Epoch 103/200 - Loss: 0.6942, Val Acc: 44.48%, Head: 55.02%, Med: 2.30%, Tail: 0.00%
Epoch 104/200 - Loss: 0.6993, Val Acc: 40.24%, Head: 50.06%, Med: 0.95%, Tail: 0.00%
Epoch 105/200 - Loss: 0.6920, Val Acc: 43.48%, Head: 53.48%, Med: 3.50%, Tail: 0.00%
Epoch 106/200 - Loss: 0.6829, Val Acc: 38.63%, Head: 47.77%, Med: 2.05%, Tail: 0.00%
Epoch 107/200 - Loss: 0.6793, Val Acc: 42.78%, Head: 53.23%, Med: 1.00%, Tail: 0.00%
Epoch 108/200 - Loss: 0.6563, Val Acc: 40.27%, Head: 48.94%, Med: 5.60%, Tail: 0.00%
Epoch 109/200 - Loss: 0.6673, Val Acc: 45.57%, Head: 56.34%, Med: 2.50%, Tail: 0.00%
Epoch 110/200 - Loss: 0.6615, Val Acc: 45.15%, Head: 54.71%, Med: 6.90%, Tail: 0.00%
Epoch 111/200 - Loss: 0.6502, Val Acc: 41.30%, Head: 51.38%, Med: 1.00%, Tail: 0.00%
Epoch 112/200 - Loss: 0.6480, Val Acc: 43.51%, Head: 53.48%, Med: 3.65%, Tail: 0.00%
Epoch 113/200 - Loss: 0.6461, Val Acc: 43.19%, Head: 52.36%, Med: 6.50%, Tail: 0.00%
Epoch 114/200 - Loss: 0.6451, Val Acc: 42.95%, Head: 53.29%, Med: 1.60%, Tail: 0.00%
Epoch 115/200 - Loss: 0.6338, Val Acc: 46.11%, Head: 53.85%, Med: 15.15%, Tail: 0.00%
Epoch 116/200 - Loss: 0.6229, Val Acc: 43.82%, Head: 53.67%, Med: 4.40%, Tail: 0.00%
Epoch 117/200 - Loss: 0.6301, Val Acc: 45.07%, Head: 54.12%, Med: 8.85%, Tail: 0.00%
Epoch 118/200 - Loss: 0.6162, Val Acc: 42.82%, Head: 52.24%, Med: 5.15%, Tail: 0.00%
Epoch 119/200 - Loss: 0.6123, Val Acc: 42.51%, Head: 51.54%, Med: 6.40%, Tail: 0.00%
Epoch 120/200 - Loss: 0.6076, Val Acc: 41.52%, Head: 51.55%, Med: 1.40%, Tail: 0.00%
Epoch 121/200 - Loss: 0.6060, Val Acc: 44.05%, Head: 54.04%, Med: 4.10%, Tail: 0.00%
Epoch 122/200 - Loss: 0.5946, Val Acc: 44.93%, Head: 53.41%, Med: 11.00%, Tail: 0.00%
Epoch 123/200 - Loss: 0.5919, Val Acc: 42.10%, Head: 51.49%, Med: 4.55%, Tail: 0.00%
Epoch 124/200 - Loss: 0.5851, Val Acc: 46.66%, Head: 54.75%, Med: 14.30%, Tail: 0.00%
Epoch 125/200 - Loss: 0.5722, Val Acc: 47.06%, Head: 55.23%, Med: 14.40%, Tail: 0.00%
