nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run y045cj97
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073615-y045cj97
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/y045cj97
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 90/200 - Loss: 0.2431, Val Acc: 58.20%, Head: 64.11%, Med: 34.55%, Tail: 0.00%
[sgd] Epoch 91/200 - Loss: 0.2388, Val Acc: 59.84%, Head: 66.81%, Med: 31.95%, Tail: 0.00%
[sgd] Epoch 92/200 - Loss: 0.2266, Val Acc: 56.44%, Head: 64.56%, Med: 23.95%, Tail: 0.00%
[sgd] Epoch 93/200 - Loss: 0.2283, Val Acc: 59.00%, Head: 67.69%, Med: 24.25%, Tail: 0.00%
[sgd] Epoch 94/200 - Loss: 0.2277, Val Acc: 60.87%, Head: 70.03%, Med: 24.25%, Tail: 0.00%
[sgd] Epoch 95/200 - Loss: 0.2269, Val Acc: 60.28%, Head: 66.44%, Med: 35.65%, Tail: 0.00%
[sgd] Epoch 96/200 - Loss: 0.2221, Val Acc: 58.89%, Head: 67.03%, Med: 26.35%, Tail: 0.00%
[sgd] Epoch 97/200 - Loss: 0.2164, Val Acc: 58.49%, Head: 65.58%, Med: 30.15%, Tail: 0.00%
[sgd] Epoch 98/200 - Loss: 0.2134, Val Acc: 61.20%, Head: 68.80%, Med: 30.80%, Tail: 0.00%
[sgd] Epoch 99/200 - Loss: 0.2021, Val Acc: 58.34%, Head: 66.35%, Med: 26.30%, Tail: 0.00%
[sgd] Epoch 100/200 - Loss: 0.2020, Val Acc: 60.38%, Head: 69.97%, Med: 22.00%, Tail: 0.00%
[sgd] Epoch 101/200 - Loss: 0.2069, Val Acc: 63.42%, Head: 69.47%, Med: 39.20%, Tail: 0.00%
[sgd] Epoch 102/200 - Loss: 0.1989, Val Acc: 61.90%, Head: 68.11%, Med: 37.05%, Tail: 0.00%
[sgd] Epoch 103/200 - Loss: 0.1867, Val Acc: 58.99%, Head: 68.60%, Med: 20.55%, Tail: 0.00%
[sgd] Epoch 104/200 - Loss: 0.1923, Val Acc: 58.00%, Head: 65.42%, Med: 28.30%, Tail: 0.00%
[sgd] Epoch 105/200 - Loss: 0.1751, Val Acc: 59.55%, Head: 69.65%, Med: 19.15%, Tail: 0.00%
[sgd] Epoch 106/200 - Loss: 0.1758, Val Acc: 63.20%, Head: 71.62%, Med: 29.50%, Tail: 0.00%
[sgd] Epoch 107/200 - Loss: 0.1769, Val Acc: 60.30%, Head: 66.71%, Med: 34.65%, Tail: 0.00%
[sgd] Epoch 108/200 - Loss: 0.1756, Val Acc: 56.86%, Head: 66.01%, Med: 20.25%, Tail: 0.00%
[sgd] Epoch 109/200 - Loss: 0.1679, Val Acc: 64.05%, Head: 72.47%, Med: 30.35%, Tail: 0.00%
[sgd] Epoch 110/200 - Loss: 0.1694, Val Acc: 57.69%, Head: 66.05%, Med: 24.25%, Tail: 0.00%
[sgd] Epoch 111/200 - Loss: 0.1512, Val Acc: 55.92%, Head: 65.39%, Med: 18.05%, Tail: 0.00%
[sgd] Epoch 112/200 - Loss: 0.1690, Val Acc: 59.70%, Head: 68.47%, Med: 24.60%, Tail: 0.00%
[sgd] Epoch 113/200 - Loss: 0.1539, Val Acc: 60.73%, Head: 70.92%, Med: 19.95%, Tail: 0.00%
[sgd] Epoch 114/200 - Loss: 0.1461, Val Acc: 59.38%, Head: 68.35%, Med: 23.50%, Tail: 0.00%
[sgd] Epoch 115/200 - Loss: 0.1453, Val Acc: 59.58%, Head: 68.51%, Med: 23.85%, Tail: 0.00%
[sgd] Epoch 116/200 - Loss: 0.1434, Val Acc: 59.78%, Head: 65.83%, Med: 35.60%, Tail: 0.00%
[sgd] Epoch 117/200 - Loss: 0.1394, Val Acc: 60.64%, Head: 70.70%, Med: 20.40%, Tail: 0.00%
[sgd] Epoch 118/200 - Loss: 0.1304, Val Acc: 57.40%, Head: 66.38%, Med: 21.50%, Tail: 0.00%
[sgd] Epoch 119/200 - Loss: 0.1343, Val Acc: 58.94%, Head: 66.80%, Med: 27.50%, Tail: 0.00%
[sgd] Epoch 120/200 - Loss: 0.1287, Val Acc: 59.50%, Head: 66.36%, Med: 32.05%, Tail: 0.00%
[sgd] Epoch 121/200 - Loss: 0.1234, Val Acc: 59.92%, Head: 68.76%, Med: 24.55%, Tail: 0.00%
[sgd] Epoch 122/200 - Loss: 0.1155, Val Acc: 60.02%, Head: 66.19%, Med: 35.35%, Tail: 0.00%
[sgd] Epoch 123/200 - Loss: 0.1217, Val Acc: 57.19%, Head: 66.44%, Med: 20.20%, Tail: 0.00%
[sgd] Epoch 124/200 - Loss: 0.1178, Val Acc: 60.45%, Head: 69.08%, Med: 25.95%, Tail: 0.00%
[sgd] Epoch 125/200 - Loss: 0.1097, Val Acc: 60.87%, Head: 69.83%, Med: 25.05%, Tail: 0.00%
[sgd] Epoch 126/200 - Loss: 0.1040, Val Acc: 58.98%, Head: 65.89%, Med: 31.35%, Tail: 0.00%
[sgd] Epoch 127/200 - Loss: 0.1106, Val Acc: 62.64%, Head: 69.85%, Med: 33.80%, Tail: 0.00%
[sgd] Epoch 128/200 - Loss: 0.1043, Val Acc: 59.68%, Head: 66.90%, Med: 30.80%, Tail: 0.00%
[sgd] Epoch 129/200 - Loss: 0.1013, Val Acc: 62.25%, Head: 68.04%, Med: 39.10%, Tail: 0.00%
[sgd] Epoch 130/200 - Loss: 0.0966, Val Acc: 56.75%, Head: 65.95%, Med: 19.95%, Tail: 0.00%
[sgd] Epoch 131/200 - Loss: 0.0975, Val Acc: 62.15%, Head: 71.25%, Med: 25.75%, Tail: 0.00%
