nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run do7o152i
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065752-do7o152i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/do7o152i
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 59/200 - Loss: 0.7447, Val Acc: 36.91%, Head: 46.04%, Med: 0.40%, Tail: 0.00%
[adam] Epoch 60/200 - Loss: 0.7446, Val Acc: 41.03%, Head: 50.85%, Med: 1.75%, Tail: 0.00%
[adam] Epoch 61/200 - Loss: 0.7394, Val Acc: 36.68%, Head: 45.42%, Med: 1.70%, Tail: 0.00%
[adam] Epoch 62/200 - Loss: 0.7248, Val Acc: 36.65%, Head: 45.60%, Med: 0.85%, Tail: 0.00%
[adam] Epoch 63/200 - Loss: 0.7254, Val Acc: 38.95%, Head: 47.73%, Med: 3.85%, Tail: 0.00%
[adam] Epoch 64/200 - Loss: 0.7187, Val Acc: 41.68%, Head: 50.64%, Med: 5.85%, Tail: 0.00%
[adam] Epoch 65/200 - Loss: 0.7187, Val Acc: 39.94%, Head: 49.42%, Med: 2.00%, Tail: 0.00%
[adam] Epoch 66/200 - Loss: 0.7057, Val Acc: 42.46%, Head: 52.42%, Med: 2.60%, Tail: 0.00%
[adam] Epoch 67/200 - Loss: 0.7031, Val Acc: 40.44%, Head: 49.80%, Med: 3.00%, Tail: 0.00%
[adam] Epoch 68/200 - Loss: 0.6913, Val Acc: 40.45%, Head: 50.20%, Med: 1.45%, Tail: 0.00%
[adam] Epoch 69/200 - Loss: 0.6993, Val Acc: 42.67%, Head: 52.99%, Med: 1.40%, Tail: 0.00%
[adam] Epoch 70/200 - Loss: 0.6842, Val Acc: 42.79%, Head: 52.75%, Med: 2.95%, Tail: 0.00%
[adam] Epoch 71/200 - Loss: 0.6840, Val Acc: 40.12%, Head: 49.44%, Med: 2.85%, Tail: 0.00%
[adam] Epoch 72/200 - Loss: 0.6763, Val Acc: 43.37%, Head: 53.36%, Med: 3.40%, Tail: 0.00%
[adam] Epoch 73/200 - Loss: 0.6715, Val Acc: 38.94%, Head: 47.88%, Med: 3.20%, Tail: 0.00%
[adam] Epoch 74/200 - Loss: 0.6704, Val Acc: 41.28%, Head: 51.06%, Med: 2.15%, Tail: 0.00%
[adam] Epoch 75/200 - Loss: 0.6682, Val Acc: 43.84%, Head: 53.41%, Med: 5.55%, Tail: 0.00%
[adam] Epoch 76/200 - Loss: 0.6605, Val Acc: 41.89%, Head: 51.76%, Med: 2.40%, Tail: 0.00%
[adam] Epoch 77/200 - Loss: 0.6571, Val Acc: 40.79%, Head: 49.69%, Med: 5.20%, Tail: 0.00%
[adam] Epoch 78/200 - Loss: 0.6411, Val Acc: 43.73%, Head: 53.89%, Med: 3.10%, Tail: 0.00%
[adam] Epoch 79/200 - Loss: 0.6460, Val Acc: 43.33%, Head: 53.76%, Med: 1.60%, Tail: 0.00%
[adam] Epoch 80/200 - Loss: 0.6417, Val Acc: 42.34%, Head: 52.66%, Med: 1.05%, Tail: 0.00%
[adam] Epoch 81/200 - Loss: 0.6434, Val Acc: 42.34%, Head: 52.14%, Med: 3.15%, Tail: 0.00%
[adam] Epoch 82/200 - Loss: 0.6301, Val Acc: 43.67%, Head: 53.60%, Med: 3.95%, Tail: 0.00%
[adam] Epoch 83/200 - Loss: 0.6257, Val Acc: 45.00%, Head: 54.45%, Med: 7.20%, Tail: 0.00%
[adam] Epoch 84/200 - Loss: 0.6288, Val Acc: 44.83%, Head: 55.20%, Med: 3.35%, Tail: 0.00%
[adam] Epoch 85/200 - Loss: 0.6110, Val Acc: 43.65%, Head: 53.17%, Med: 5.55%, Tail: 0.00%
[adam] Epoch 86/200 - Loss: 0.6185, Val Acc: 41.95%, Head: 51.96%, Med: 1.90%, Tail: 0.00%
[adam] Epoch 87/200 - Loss: 0.6061, Val Acc: 46.07%, Head: 55.91%, Med: 6.70%, Tail: 0.00%
[adam] Epoch 88/200 - Loss: 0.6064, Val Acc: 44.65%, Head: 54.77%, Med: 4.15%, Tail: 0.00%
[adam] Epoch 89/200 - Loss: 0.6042, Val Acc: 41.95%, Head: 51.05%, Med: 5.55%, Tail: 0.00%
[adam] Epoch 90/200 - Loss: 0.5992, Val Acc: 42.37%, Head: 52.46%, Med: 2.00%, Tail: 0.00%
[adam] Epoch 91/200 - Loss: 0.5842, Val Acc: 42.40%, Head: 52.40%, Med: 2.40%, Tail: 0.00%
[adam] Epoch 92/200 - Loss: 0.5852, Val Acc: 43.45%, Head: 53.50%, Med: 3.25%, Tail: 0.00%
[adam] Epoch 93/200 - Loss: 0.5836, Val Acc: 45.15%, Head: 55.10%, Med: 5.35%, Tail: 0.00%
[adam] Epoch 94/200 - Loss: 0.5811, Val Acc: 44.05%, Head: 54.74%, Med: 1.30%, Tail: 0.00%
[adam] Epoch 95/200 - Loss: 0.5765, Val Acc: 42.94%, Head: 53.23%, Med: 1.80%, Tail: 0.00%
[adam] Epoch 96/200 - Loss: 0.5651, Val Acc: 46.61%, Head: 55.81%, Med: 9.80%, Tail: 0.00%
[adam] Epoch 97/200 - Loss: 0.5704, Val Acc: 42.99%, Head: 52.75%, Med: 3.95%, Tail: 0.00%
[adam] Epoch 98/200 - Loss: 0.5551, Val Acc: 47.02%, Head: 56.40%, Med: 9.50%, Tail: 0.00%
[adam] Epoch 99/200 - Loss: 0.5560, Val Acc: 45.75%, Head: 55.85%, Med: 5.35%, Tail: 0.00%
