nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run oo6mx125
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_022239-oo6mx125
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/oo6mx125
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=2400: 63.354% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 61/200 - Loss: 0.1137, Val Acc: 60.25%, Head: 69.25%, Med: 24.25%, Tail: 0.00%
[trinity] Epoch 62/200 - Loss: 0.1183, Val Acc: 60.38%, Head: 68.47%, Med: 28.00%, Tail: 0.00%
[trinity] Epoch 63/200 - Loss: 0.1133, Val Acc: 60.59%, Head: 68.42%, Med: 29.25%, Tail: 0.00%
[trinity] Epoch 64/200 - Loss: 0.1116, Val Acc: 59.98%, Head: 67.59%, Med: 29.55%, Tail: 0.00%
[trinity] Epoch 65/200 - Loss: 0.1064, Val Acc: 60.95%, Head: 69.65%, Med: 26.15%, Tail: 0.00%
[trinity] Epoch 66/200 - Loss: 0.0990, Val Acc: 59.43%, Head: 67.59%, Med: 26.80%, Tail: 0.00%
[trinity] Epoch 67/200 - Loss: 0.0902, Val Acc: 60.40%, Head: 68.66%, Med: 27.35%, Tail: 0.00%
[trinity] Epoch 68/200 - Loss: 0.0870, Val Acc: 57.84%, Head: 67.05%, Med: 21.00%, Tail: 0.00%
[trinity] Epoch 69/200 - Loss: 0.0924, Val Acc: 58.58%, Head: 68.46%, Med: 19.05%, Tail: 0.00%
[trinity] Epoch 70/200 - Loss: 0.0810, Val Acc: 57.23%, Head: 67.16%, Med: 17.50%, Tail: 0.00%
[trinity] Epoch 71/200 - Loss: 0.0823, Val Acc: 58.59%, Head: 67.39%, Med: 23.40%, Tail: 0.00%
[trinity] Epoch 72/200 - Loss: 0.0912, Val Acc: 58.45%, Head: 68.03%, Med: 20.15%, Tail: 0.00%
[trinity] Epoch 73/200 - Loss: 0.0814, Val Acc: 59.03%, Head: 68.26%, Med: 22.10%, Tail: 0.00%
[trinity] Epoch 74/200 - Loss: 0.0814, Val Acc: 58.13%, Head: 65.99%, Med: 26.70%, Tail: 0.00%
