nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s7knrlz7
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024022-s7knrlz7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/s7knrlz7
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 59/200 - Loss: 0.1872, Val Acc: 58.35%, Head: 66.55%, Med: 25.55%, Tail: 0.00%
[adam] Epoch 60/200 - Loss: 0.1842, Val Acc: 58.60%, Head: 67.53%, Med: 22.90%, Tail: 0.00%
[adam] Epoch 61/200 - Loss: 0.1854, Val Acc: 55.80%, Head: 64.81%, Med: 19.75%, Tail: 0.00%
[adam] Epoch 62/200 - Loss: 0.1808, Val Acc: 57.36%, Head: 66.79%, Med: 19.65%, Tail: 0.00%
[adam] Epoch 63/200 - Loss: 0.1702, Val Acc: 58.64%, Head: 68.29%, Med: 20.05%, Tail: 0.00%
[adam] Epoch 64/200 - Loss: 0.1568, Val Acc: 58.91%, Head: 67.58%, Med: 24.25%, Tail: 0.00%
[adam] Epoch 65/200 - Loss: 0.1649, Val Acc: 59.41%, Head: 67.86%, Med: 25.60%, Tail: 0.00%
[adam] Epoch 66/200 - Loss: 0.1613, Val Acc: 57.52%, Head: 65.95%, Med: 23.80%, Tail: 0.00%
[adam] Epoch 67/200 - Loss: 0.1586, Val Acc: 58.69%, Head: 66.54%, Med: 27.30%, Tail: 0.00%
[adam] Epoch 68/200 - Loss: 0.1544, Val Acc: 58.88%, Head: 68.06%, Med: 22.15%, Tail: 0.00%
[adam] Epoch 69/200 - Loss: 0.1585, Val Acc: 58.62%, Head: 68.58%, Med: 18.80%, Tail: 0.00%
