nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 86/200 - Loss: 0.1098, Val Acc: 54.91%, Head: 64.80%, Med: 15.35%, Tail: 0.00%
[rmsprop] Epoch 87/200 - Loss: 0.1105, Val Acc: 58.35%, Head: 68.75%, Med: 16.75%, Tail: 0.00%
[rmsprop] Epoch 88/200 - Loss: 0.1054, Val Acc: 59.40%, Head: 67.49%, Med: 27.05%, Tail: 0.00%
[rmsprop] Epoch 89/200 - Loss: 0.1079, Val Acc: 59.61%, Head: 68.49%, Med: 24.10%, Tail: 0.00%
[rmsprop] Epoch 90/200 - Loss: 0.1020, Val Acc: 60.06%, Head: 67.90%, Med: 28.70%, Tail: 0.00%
[rmsprop] Epoch 91/200 - Loss: 0.1011, Val Acc: 60.72%, Head: 67.46%, Med: 33.75%, Tail: 0.00%
[rmsprop] Epoch 92/200 - Loss: 0.1023, Val Acc: 57.98%, Head: 66.34%, Med: 24.55%, Tail: 0.00%
[rmsprop] Epoch 93/200 - Loss: 0.0952, Val Acc: 58.83%, Head: 67.39%, Med: 24.60%, Tail: 0.00%
[rmsprop] Epoch 94/200 - Loss: 0.0948, Val Acc: 59.46%, Head: 67.60%, Med: 26.90%, Tail: 0.00%
[rmsprop] Epoch 95/200 - Loss: 0.0933, Val Acc: 58.15%, Head: 65.34%, Med: 29.40%, Tail: 0.00%
[rmsprop] Epoch 96/200 - Loss: 0.0863, Val Acc: 60.77%, Head: 68.81%, Med: 28.60%, Tail: 0.00%
