nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 85/200 - Loss: 0.1236, Val Acc: 54.49%, Head: 64.89%, Med: 12.90%, Tail: 0.00%
[rmsprop] Epoch 86/200 - Loss: 0.1119, Val Acc: 55.61%, Head: 64.72%, Med: 19.15%, Tail: 0.00%
[rmsprop] Epoch 87/200 - Loss: 0.1125, Val Acc: 55.49%, Head: 66.17%, Med: 12.75%, Tail: 0.00%
[rmsprop] Epoch 88/200 - Loss: 0.1164, Val Acc: 57.42%, Head: 66.55%, Med: 20.90%, Tail: 0.00%
[rmsprop] Epoch 89/200 - Loss: 0.1122, Val Acc: 54.19%, Head: 63.69%, Med: 16.20%, Tail: 0.00%
[rmsprop] Epoch 90/200 - Loss: 0.1082, Val Acc: 56.80%, Head: 67.20%, Med: 15.20%, Tail: 0.00%
[rmsprop] Epoch 91/200 - Loss: 0.0990, Val Acc: 55.84%, Head: 65.16%, Med: 18.55%, Tail: 0.00%
[rmsprop] Epoch 92/200 - Loss: 0.1012, Val Acc: 58.78%, Head: 66.46%, Med: 28.05%, Tail: 0.00%
[rmsprop] Epoch 93/200 - Loss: 0.0984, Val Acc: 57.60%, Head: 67.67%, Med: 17.30%, Tail: 0.00%
[rmsprop] Epoch 94/200 - Loss: 0.0953, Val Acc: 55.28%, Head: 63.11%, Med: 23.95%, Tail: 0.00%
[rmsprop] Epoch 95/200 - Loss: 0.0956, Val Acc: 56.79%, Head: 66.30%, Med: 18.75%, Tail: 0.00%
[rmsprop] Epoch 96/200 - Loss: 0.0867, Val Acc: 58.31%, Head: 67.74%, Med: 20.60%, Tail: 0.00%
[rmsprop] Epoch 97/200 - Loss: 0.0863, Val Acc: 58.53%, Head: 67.09%, Med: 24.30%, Tail: 0.00%
[rmsprop] Epoch 98/200 - Loss: 0.0874, Val Acc: 56.79%, Head: 66.62%, Med: 17.45%, Tail: 0.00%
[rmsprop] Epoch 99/200 - Loss: 0.0823, Val Acc: 58.61%, Head: 66.17%, Med: 28.35%, Tail: 0.00%
[rmsprop] Epoch 100/200 - Loss: 0.0739, Val Acc: 57.72%, Head: 65.69%, Med: 25.85%, Tail: 0.00%
[rmsprop] Epoch 101/200 - Loss: 0.0801, Val Acc: 55.90%, Head: 66.16%, Med: 14.85%, Tail: 0.00%
[rmsprop] Epoch 102/200 - Loss: 0.0740, Val Acc: 54.29%, Head: 65.96%, Med: 7.60%, Tail: 0.00%
[rmsprop] Epoch 103/200 - Loss: 0.0743, Val Acc: 55.54%, Head: 64.40%, Med: 20.10%, Tail: 0.00%
[rmsprop] Epoch 104/200 - Loss: 0.0728, Val Acc: 57.22%, Head: 65.66%, Med: 23.45%, Tail: 0.00%
[rmsprop] Epoch 105/200 - Loss: 0.0666, Val Acc: 57.19%, Head: 67.20%, Med: 17.15%, Tail: 0.00%
[rmsprop] Epoch 106/200 - Loss: 0.0672, Val Acc: 59.30%, Head: 68.55%, Med: 22.30%, Tail: 0.00%
[rmsprop] Epoch 107/200 - Loss: 0.0613, Val Acc: 58.44%, Head: 66.01%, Med: 28.15%, Tail: 0.00%
[rmsprop] Epoch 108/200 - Loss: 0.0646, Val Acc: 55.76%, Head: 64.86%, Med: 19.35%, Tail: 0.00%
[rmsprop] Epoch 109/200 - Loss: 0.0605, Val Acc: 56.54%, Head: 67.75%, Med: 11.70%, Tail: 0.00%
[rmsprop] Epoch 110/200 - Loss: 0.0598, Val Acc: 57.10%, Head: 65.11%, Med: 25.05%, Tail: 0.00%
[rmsprop] Epoch 111/200 - Loss: 0.0575, Val Acc: 56.53%, Head: 66.17%, Med: 17.95%, Tail: 0.00%
[rmsprop] Epoch 112/200 - Loss: 0.0485, Val Acc: 58.51%, Head: 67.79%, Med: 21.40%, Tail: 0.00%
