nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b367s1ue
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073554-b367s1ue
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/b367s1ue
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 80/200 - Loss: 0.1130, Val Acc: 59.94%, Head: 67.35%, Med: 30.30%, Tail: 0.00%
[adam] Epoch 81/200 - Loss: 0.1138, Val Acc: 56.14%, Head: 63.49%, Med: 26.75%, Tail: 0.00%
[adam] Epoch 82/200 - Loss: 0.1110, Val Acc: 56.60%, Head: 66.30%, Med: 17.80%, Tail: 0.00%
[adam] Epoch 83/200 - Loss: 0.1008, Val Acc: 57.59%, Head: 67.47%, Med: 18.05%, Tail: 0.00%
[adam] Epoch 84/200 - Loss: 0.0993, Val Acc: 56.99%, Head: 65.70%, Med: 22.15%, Tail: 0.00%
[adam] Epoch 85/200 - Loss: 0.1009, Val Acc: 59.30%, Head: 68.04%, Med: 24.35%, Tail: 0.00%
[adam] Epoch 86/200 - Loss: 0.1014, Val Acc: 58.07%, Head: 66.80%, Med: 23.15%, Tail: 0.00%
[adam] Epoch 87/200 - Loss: 0.0881, Val Acc: 56.80%, Head: 65.67%, Med: 21.30%, Tail: 0.00%
[adam] Epoch 88/200 - Loss: 0.0914, Val Acc: 58.49%, Head: 67.69%, Med: 21.70%, Tail: 0.00%
[adam] Epoch 89/200 - Loss: 0.0922, Val Acc: 59.68%, Head: 66.20%, Med: 33.60%, Tail: 0.00%
[adam] Epoch 90/200 - Loss: 0.0864, Val Acc: 59.95%, Head: 67.34%, Med: 30.40%, Tail: 0.00%
[adam] Epoch 91/200 - Loss: 0.0850, Val Acc: 58.42%, Head: 67.39%, Med: 22.55%, Tail: 0.00%
[adam] Epoch 92/200 - Loss: 0.0764, Val Acc: 60.17%, Head: 68.80%, Med: 25.65%, Tail: 0.00%
[adam] Epoch 93/200 - Loss: 0.0797, Val Acc: 57.15%, Head: 66.33%, Med: 20.45%, Tail: 0.00%
[adam] Epoch 94/200 - Loss: 0.0705, Val Acc: 59.26%, Head: 66.84%, Med: 28.95%, Tail: 0.00%
[adam] Epoch 95/200 - Loss: 0.0764, Val Acc: 58.52%, Head: 66.11%, Med: 28.15%, Tail: 0.00%
[adam] Epoch 96/200 - Loss: 0.0742, Val Acc: 57.64%, Head: 66.80%, Med: 21.00%, Tail: 0.00%
[adam] Epoch 97/200 - Loss: 0.0658, Val Acc: 57.72%, Head: 67.14%, Med: 20.05%, Tail: 0.00%
[adam] Epoch 98/200 - Loss: 0.0683, Val Acc: 60.44%, Head: 68.11%, Med: 29.75%, Tail: 0.00%
[adam] Epoch 99/200 - Loss: 0.0586, Val Acc: 57.01%, Head: 66.17%, Med: 20.35%, Tail: 0.00%
[adam] Epoch 100/200 - Loss: 0.0649, Val Acc: 60.94%, Head: 69.74%, Med: 25.75%, Tail: 0.00%
[adam] Epoch 101/200 - Loss: 0.0621, Val Acc: 58.04%, Head: 66.19%, Med: 25.45%, Tail: 0.00%
[adam] Epoch 102/200 - Loss: 0.0560, Val Acc: 61.79%, Head: 69.16%, Med: 32.30%, Tail: 0.00%
[adam] Epoch 103/200 - Loss: 0.0577, Val Acc: 57.46%, Head: 66.24%, Med: 22.35%, Tail: 0.00%
[adam] Epoch 104/200 - Loss: 0.0584, Val Acc: 58.53%, Head: 67.88%, Med: 21.15%, Tail: 0.00%
[adam] Epoch 105/200 - Loss: 0.0620, Val Acc: 58.17%, Head: 66.22%, Med: 25.95%, Tail: 0.00%
[adam] Epoch 106/200 - Loss: 0.0495, Val Acc: 59.00%, Head: 68.39%, Med: 21.45%, Tail: 0.00%
[adam] Epoch 107/200 - Loss: 0.0502, Val Acc: 59.80%, Head: 66.99%, Med: 31.05%, Tail: 0.00%
[adam] Epoch 108/200 - Loss: 0.0538, Val Acc: 59.50%, Head: 68.36%, Med: 24.05%, Tail: 0.00%
[adam] Epoch 109/200 - Loss: 0.0458, Val Acc: 59.32%, Head: 67.12%, Med: 28.10%, Tail: 0.00%
