nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 110/200 - Loss: 0.1450, Val Acc: 58.96%, Head: 68.89%, Med: 19.25%, Tail: 0.00%
[sgd] Epoch 111/200 - Loss: 0.1594, Val Acc: 57.53%, Head: 66.86%, Med: 20.20%, Tail: 0.00%
[sgd] Epoch 112/200 - Loss: 0.1451, Val Acc: 58.71%, Head: 68.28%, Med: 20.45%, Tail: 0.00%
[sgd] Epoch 113/200 - Loss: 0.1431, Val Acc: 61.39%, Head: 69.90%, Med: 27.35%, Tail: 0.00%
[sgd] Epoch 114/200 - Loss: 0.1320, Val Acc: 58.23%, Head: 67.45%, Med: 21.35%, Tail: 0.00%
[sgd] Epoch 115/200 - Loss: 0.1375, Val Acc: 61.73%, Head: 69.70%, Med: 29.85%, Tail: 0.00%
[sgd] Epoch 116/200 - Loss: 0.1334, Val Acc: 58.61%, Head: 65.66%, Med: 30.40%, Tail: 0.00%
[sgd] Epoch 117/200 - Loss: 0.1314, Val Acc: 59.59%, Head: 69.50%, Med: 19.95%, Tail: 0.00%
[sgd] Epoch 118/200 - Loss: 0.1320, Val Acc: 60.67%, Head: 69.85%, Med: 23.95%, Tail: 0.00%
[sgd] Epoch 119/200 - Loss: 0.1157, Val Acc: 60.74%, Head: 68.55%, Med: 29.50%, Tail: 0.00%
[sgd] Epoch 120/200 - Loss: 0.1178, Val Acc: 61.08%, Head: 71.61%, Med: 18.95%, Tail: 0.00%
[sgd] Epoch 121/200 - Loss: 0.1160, Val Acc: 60.00%, Head: 68.91%, Med: 24.35%, Tail: 0.00%
[sgd] Epoch 122/200 - Loss: 0.1117, Val Acc: 60.50%, Head: 67.39%, Med: 32.95%, Tail: 0.00%
[sgd] Epoch 123/200 - Loss: 0.1050, Val Acc: 60.43%, Head: 69.10%, Med: 25.75%, Tail: 0.00%
[sgd] Epoch 124/200 - Loss: 0.1028, Val Acc: 56.07%, Head: 65.97%, Med: 16.45%, Tail: 0.00%
[sgd] Epoch 125/200 - Loss: 0.1100, Val Acc: 60.31%, Head: 70.50%, Med: 19.55%, Tail: 0.00%
[sgd] Epoch 126/200 - Loss: 0.1055, Val Acc: 62.31%, Head: 70.70%, Med: 28.75%, Tail: 0.00%
[sgd] Epoch 127/200 - Loss: 0.0987, Val Acc: 60.21%, Head: 68.59%, Med: 26.70%, Tail: 0.00%
[sgd] Epoch 128/200 - Loss: 0.0967, Val Acc: 60.27%, Head: 69.39%, Med: 23.80%, Tail: 0.00%
[sgd] Epoch 129/200 - Loss: 0.0942, Val Acc: 59.90%, Head: 69.00%, Med: 23.50%, Tail: 0.00%
[sgd] Epoch 130/200 - Loss: 0.0930, Val Acc: 59.47%, Head: 69.92%, Med: 17.65%, Tail: 0.00%
[sgd] Epoch 131/200 - Loss: 0.0866, Val Acc: 60.52%, Head: 65.96%, Med: 38.75%, Tail: 0.00%
[sgd] Epoch 132/200 - Loss: 0.0856, Val Acc: 59.58%, Head: 69.54%, Med: 19.75%, Tail: 0.00%
[sgd] Epoch 133/200 - Loss: 0.0880, Val Acc: 59.74%, Head: 68.70%, Med: 23.90%, Tail: 0.00%
[sgd] Epoch 134/200 - Loss: 0.0755, Val Acc: 59.77%, Head: 68.42%, Med: 25.15%, Tail: 0.00%
[sgd] Epoch 135/200 - Loss: 0.0732, Val Acc: 58.31%, Head: 65.61%, Med: 29.10%, Tail: 0.00%
[sgd] Epoch 136/200 - Loss: 0.0726, Val Acc: 59.40%, Head: 68.28%, Med: 23.90%, Tail: 0.00%
[sgd] Epoch 137/200 - Loss: 0.0696, Val Acc: 58.69%, Head: 68.58%, Med: 19.15%, Tail: 0.00%
